GC 64 invokes.
Index    Invoke Time(sec)       Use Size(byte)     Total Size(byte)         Total Object                    GC Time(ms)
    1               0.023               121120               391680                 9792         0.61700000000002030998
    2               0.026 18446744073709437256               391680                 9792         0.13799999999997147881
    3               0.051               115160               391680                 9792         0.22800000000003373124
    4               0.054                51840               391680                 9792         0.06800000000004025047
    5               0.076               109520               391680                 9792         0.16400000000002523670
    6               0.091               109920               391680                 9792         0.15800000000001923617
    7               0.106               109720               391680                 9792         0.18100000000001448264
    8               0.122               109800               391680                 9792         0.18600000000001948308
    9               0.136               109760               391680                 9792         0.15299999999998648015
   10               0.149               109800               391680                 9792         0.15700000000001823608
   11               0.163               109760               391680                 9792         0.18300000000004423839
   12               0.177               109800               391680                 9792         0.16000000000010450307
   13               0.190               109760               391680                 9792         0.14399999999992196820
   14               0.203               109800               391680                 9792         0.14000000000002899014
   15               0.217               109760               391680                 9792         0.19499999999988970600
   16               0.232               109800               391680                 9792         0.17899999999992921573
   17               0.245               109760               391680                 9792         0.16400000000010850343
   18               0.261               109800               391680                 9792         0.14300000000005974599
   19               0.275               109760               391680                 9792         0.15900000000002023626
   20               0.289               109800               391680                 9792         0.14200000000003099032
   21               0.304               109800               391680                 9792         0.18800000000002148326
   22               0.320               109800               391680                 9792         0.14600000000009050183
   23               0.333               109760               391680                 9792         0.15999999999988245847
   24               0.347               109800               391680                 9792         0.14500000000000623501
   25               0.360               109760               391680                 9792         0.18299999999998872724
   26               0.375               109800               391680                 9792         0.17000000000000348166
   27               0.389               109760               391680                 9792         0.21000000000004348522
   28               0.404               109800               391680                 9792         0.22100000000002673062
   29               0.422               109760               391680                 9792         0.15199999999992996891
   30               0.435               109800               391680                 9792         0.16000000000004899192
   31               0.452               109760               391680                 9792         0.16299999999991321431
   32               0.468               109800               391680                 9792         0.17599999999995397104
   33               0.483               109800               391680                 9792         0.19799999999980943954
   34               0.497               109800               391680                 9792         0.15999999999993796962
   35               0.512               109760               391680                 9792         0.16499999999997072564
   36               0.527               109800               391680                 9792         0.15900000000002023626
   37               0.541               109760               391680                 9792         0.14199999999997547917
   38               0.554               109800               391680                 9792         0.16199999999999548095
   39               0.571               109760               391680                 9792         0.19399999999991646149
   40               0.585               109800               391680                 9792         0.26300000000001322320
   41               0.604               109760               391680                 9792         0.18399999999996197175
   42               0.623               109800               391680                 9792         0.15499999999990521360
   43               0.639               109760               391680                 9792         0.23600000000012499868
   44               0.656               109800               391680                 9792         0.18100000000020877167
   45               0.670               109800               391680                 9792         0.14000000000002899014
   46               0.683               109800               391680                 9792         0.14600000000020152413
   47               0.695               109760               391680                 9792         0.17899999999992921573
   48               0.710               109800               391680                 9792         0.19899999999994921751
   49               0.726               109760               391680                 9792         0.14400000000003299050
   50               0.739               109800               391680                 9792         0.17200000000017201529
   51               0.754               109760               391680                 9792         0.14300000000011525714
   52               0.767               109800               391680                 9792         0.14199999999986445687
   53               0.784               109760               391680                 9792         0.22800000000011699797
   54               0.804               109800               391680                 9792         0.19199999999974792786
   55               0.818               109760               391680                 9792         0.16800000000005699263
   56               0.833               109800               391680                 9792         0.20299999999995321787
   57               0.853               109800               391680                 9792         0.16199999999999548095
   58               0.868               109800               391680                 9792         0.14099999999994672351
   59               0.881               109760               391680                 9792         0.15399999999998748024
   60               0.897               109800               391680                 9792         0.18799999999963290520
   61               0.911               109760               391680                 9792         0.23000000000039655390
   62               0.925               109800               391680                 9792         0.13399999999985645616
   63               0.940               109760               391680                 9792         0.16199999999999548095
   64               0.956               109800               391680                 9792         0.17399999999989645971
